Iteration,obj,obj_bound,cost,loss,comp,time
1,1.1237709564087046,1.1037709564087046,0.34805043239123734,0.6157205240174672,8.0,1.348787117999791
2,1.124856597268869,1.1037709564087046,0.3491360732514017,0.6157205240174672,8.0,2.8491197909997936
3,1.1455835874470213,1.1037709564087046,0.349863063429554,0.6157205240174672,9.0,3.5280027419998987
4,1.1655835874470213,1.1037709564087046,0.349863063429554,0.6157205240174672,10.0,4.602893090999942
5,1.1725692448787426,1.1037709564087046,0.31318059859053293,0.6593886462882097,10.0,5.602613730999792
6,1.196993557713487,1.1037709564087046,0.3132380991982029,0.6637554585152838,11.0,7.386309094999888
7,1.2098365433699834,1.1037709564087046,0.31918152153592233,0.6506550218340612,12.0,7.632477667999865
8,1.227622736606445,1.1037709564087046,0.3213345269994581,0.646288209606987,13.0,7.809277918999896
9,1.2148156085248707,1.1037709564087046,0.2935929011012897,0.6812227074235808,12.0,8.574725047999891
10,1.2148156085248707,1.1037709564087046,0.2935929011012897,0.6812227074235808,12.0,8.667058823999923
11,1.234337177639916,1.1037709564087046,0.15590923004166274,0.8384279475982532,12.0,14.541553275999831
12,1.2236744610241468,1.1037709564087046,0.1452465134258935,0.8384279475982532,12.0,15.563131099999964
13,1.243674461024147,1.1037709564087046,0.1452465134258935,0.8384279475982532,13.0,16.585460151000007
14,1.2540068915959288,1.1037709564087046,0.15304619290597218,0.8209606986899564,14.0,16.782975710999835
15,1.2708580331489105,1.1037709564087046,0.15426414668602817,0.8165938864628821,15.0,17.774013854999794
16,1.2909335197965668,1.1037709564087046,0.163073257787833,0.8078602620087336,16.0,18.90837406499986
17,1.280601089224785,1.1037709564087046,0.15527357830775432,0.8253275109170306,15.0,19.060045275999983
18,1.2985117548336944,1.1037709564087046,0.157551056143738,0.8209606986899564,16.0,19.257831779999833
19,1.2777387893650902,1.1037709564087046,0.13494402953976273,0.8427947598253276,15.0,21.68091110299997
20,1.2736234059875822,1.1037709564087046,0.12209502170810613,0.851528384279476,15.0,22.464330298999812
21,1.263271500248349,1.1037709564087046,0.10117543037935339,0.8820960698689957,14.0,23.002791479999814
22,1.2434767868319336,1.1037709564087046,0.09264709250878952,0.8908296943231441,13.0,23.669439525999906
23,1.1937817746514454,1.1037709564087046,0.03928395805755899,0.9344978165938864,11.0,28.4336107229999
24,1.174032800627927,1.1037709564087046,0.02206773512574374,0.9519650655021834,10.0,29.582653287999847
25,1.154032800627927,1.1037709564087046,0.02206773512574374,0.9519650655021834,9.0,31.719970134999812
26,1.1753050707679493,1.1037709564087046,0.023340005265765983,0.9519650655021834,10.0,32.120471039999984
27,1.1775997254757973,1.1037709564087046,0.02126784774653972,0.9563318777292577,10.0,33.21442713499982
28,1.1975997254757973,1.1037709564087046,0.02126784774653972,0.9563318777292577,11.0,33.74791713799982
29,1.1096777214256295,1.1037709564087046,0.04644628037759464,0.9432314410480349,6.0,36.623698387999866
30,1.1120492850038564,1.1037709564087046,0.03571740727459863,0.9563318777292577,6.0,37.18277214
31,1.1311174354259468,1.1037709564087046,0.03478555769668915,0.9563318777292577,7.0,37.37826577399983
32,1.0406898487483034,1.0406898487483034,0.00505666097537758,0.9956331877729258,2.0,39.85770697399994
33,1.0606898487483034,1.0406898487483034,0.00505666097537758,0.9956331877729258,3.0,42.303922881999824
34,1.064080872407211,1.0406898487483034,0.017181309088433714,0.9868995633187773,3.0,44.813228066999955
35,1.059798307016695,1.0406898487483034,0.00416511924376908,0.9956331877729258,3.0,45.49303852799994
36,1.0785348215818766,1.0406898487483034,0.011635258263099236,0.9868995633187773,4.0,45.882871875999854
37,1.0957771701342223,1.0406898487483034,0.013244419042519074,0.982532751091703,5.0,46.045746037999834
38,1.115777170134222,1.0406898487483034,0.013244419042519074,0.982532751091703,6.0,46.193007713999805
39,1.115777170134222,1.0406898487483034,0.013244419042519074,0.982532751091703,6.0,46.27101248700001
40,1.115777170134222,1.0406898487483034,0.013244419042519074,0.982532751091703,6.0,46.34670744699997
41,1.115777170134222,1.0406898487483034,0.013244419042519074,0.982532751091703,6.0,46.49442020799984
42,1.0985348215818767,1.0406898487483034,0.011635258263099236,0.9868995633187773,5.0,46.677728390999846
43,1.0785348215818766,1.0406898487483034,0.011635258263099234,0.9868995633187773,4.0,47.14619367299997
44,1.098105294060088,1.0406898487483034,0.011205730741310463,0.9868995633187773,5.0,47.29917039499992
45,1.1181052940600877,1.0406898487483034,0.011205730741310463,0.9868995633187773,6.0,49.72523867599989
46,1.1381052940600878,1.0406898487483034,0.011205730741310463,0.9868995633187773,7.0,51.76583268499985
47,1.1441235706843813,1.0406898487483034,0.014691256273901013,0.9694323144104804,8.0,52.96244324699978
48,1.1628099664806943,1.0406898487483034,0.015910403161917087,0.9868995633187773,8.0,53.36778453099987
49,1.1495309331883787,1.0406898487483034,0.02009861877789842,0.9694323144104804,8.0,57.77890258399998
