Iteration,obj,obj_bound,cost,loss,comp,time
1,0.854472509656497,0.8219473475287306,0.1029692416826408,0.5915032679738562,8.0,2.689803857996594
2,0.8679365619440786,0.8219473475287306,0.1029692416826408,0.5849673202614379,9.0,4.265552041004412
3,0.8831112103746548,0.8219473475287306,0.10467983782563513,0.5784313725490197,10.0,5.041460273001576
4,0.8968616571636825,0.8219473475287306,0.10209041533361715,0.5947712418300654,10.0,10.5763879409933
5,0.8523012935804992,0.8219473475287306,0.11635358116219849,0.5359477124183007,10.0,17.17617893201532
6,0.8262313059893831,0.8219473475287306,0.11355156742729165,0.5326797385620916,9.0,18.781961324013537
7,0.8485090181550456,0.8219473475287306,0.11582927959295411,0.5326797385620916,10.0,19.291200017993106
8,0.8370641993851689,0.8219473475287306,0.12399230396033212,0.5130718954248366,10.0,20.95147661899682
9,1.1221651978915903,0.8219473475287306,0.12477957697655773,0.7973856209150326,10.0,27.301437674002955
10,1.1054912962020047,0.8219473475287306,0.08522985829350818,0.8202614379084967,10.0,28.754359915008536
11,1.1254912962020047,0.8219473475287306,0.08522985829350818,0.8202614379084967,11.0,30.35104517498985
12,1.1279841238822326,0.8219473475287306,0.09713445067961846,0.7908496732026145,12.0,32.00930842501111
13,1.130392834832047,0.8219473475287306,0.1024189786228967,0.7679738562091503,13.0,33.56117166401236
14,1.1144451224137464,0.8219473475287306,0.1024189786228967,0.7320261437908497,14.0,34.73314850000315
15,1.0817621711598417,0.8219473475287306,0.09587981821866556,0.7058823529411766,14.0,36.72042750599212
16,1.1049497678159064,0.8219473475287306,0.07985172860022019,0.7450980392156863,14.0,40.4729647639906
17,1.1167386602668907,0.8219473475287306,0.07817656876362294,0.738562091503268,15.0,41.363251331989886
18,1.1287324947802864,0.8219473475287306,0.08324229870185512,0.7254901960784315,16.0,42.92623180401279
19,1.1167386602668907,0.8219473475287306,0.07817656876362294,0.738562091503268,15.0,43.853776292991824
20,1.1183000245392207,0.8219473475287306,0.07973793303595283,0.738562091503268,15.0,44.86304212801042
21,1.0541757960753144,0.8219473475287306,0.08750912940864783,0.6666666666666667,15.0,46.10030339300283
22,1.0541757960753144,0.8219473475287306,0.08750912940864783,0.6666666666666667,15.0,47.05052414399688
23,1.058754640798937,0.8219473475287306,0.08882000027606116,0.6699346405228759,15.0,48.522676805994706
24,1.0420226146486102,0.8219473475287306,0.0888200002695252,0.673202614379085,14.0,49.84789238401572
25,1.0587546407924011,0.8219473475287306,0.08882000026952522,0.6699346405228759,15.0,51.07296680100262
26,1.1056348606882818,0.8219473475287306,0.08053682147259539,0.7450980392156863,14.0,51.55814104201272
27,1.0938459682372974,0.8219473475287306,0.08221198130919265,0.7516339869281046,13.0,52.081011403992306
28,1.1145793974150258,0.8219473475287306,0.07967743663071204,0.7549019607843137,14.0,52.33740045799641
29,1.141115345127444,0.8219473475287306,0.07967743663071204,0.761437908496732,15.0,53.035613367013866
30,1.1520050637340005,0.8219473475287306,0.0803710768058958,0.7516339869281046,16.0,54.32510142598767
31,1.1689077506858696,0.8219473475287306,0.08054173761397407,0.7483660130718954,17.0,54.88412801301456
32,1.1849025386075902,0.8219473475287306,0.08307247324811312,0.7418300653594772,18.0,57.942199390992755
33,1.201634564751381,0.8219473475287306,0.08307247324811314,0.738562091503268,19.0,58.38222520999261
34,1.184731877799512,0.8219473475287306,0.08290181244003486,0.7418300653594772,18.0,58.857604519987945
35,1.1700550449425258,0.8219473475287306,0.08168903187063034,0.7483660130718954,17.0,60.39086609199876
36,1.1512751404032495,0.8219473475287306,0.05310520576272666,0.7581699346405228,17.0,61.606355575990165
37,1.1352803524815287,0.8219473475287306,0.050574470128587595,0.7647058823529412,16.0,62.48828478899668
38,1.1471769169445314,0.8219473475287306,0.052274956160217635,0.7549019607843137,17.0,63.30479231799836
39,1.147812353769147,0.8219473475287306,0.056178366841042375,0.7516339869281046,17.0,64.87982425501104
40,1.1529927681094763,0.8219473475287306,0.054822833468953315,0.7581699346405228,17.0,65.6908003569988
41,1.1527389166299882,0.8219473475287306,0.054961138852210524,0.7777777777777778,16.0,68.22002420498757
42,1.0880402835299097,0.8219473475287306,0.07353047960834132,0.7745098039215687,12.0,72.07582356000785
43,1.0981922085418336,0.8219473475287306,0.08002227390131096,0.7581699346405228,13.0,74.6020893729874
44,1.1089329532285985,0.8219473475287306,0.07403099244428489,0.7549019607843137,14.0,75.33866099099396
45,1.1286886438225239,0.8219473475287306,0.07378668303821011,0.7549019607843137,15.0,80.95922372900532
46,1.1450938727774764,0.8219473475287306,0.0734598858493717,0.7516339869281046,16.0,81.52611957199406
47,1.176111960566275,0.8219473475287306,0.06526228736366067,0.7908496732026145,16.0,84.61668571698829
48,1.1961119605662751,0.8219473475287306,0.06526228736366067,0.7908496732026145,17.0,86.41818797800806
49,1.183998671768813,0.8219473475287306,0.06334507699757096,0.8006535947712419,16.0,86.79245970500051
50,1.1848701310261265,0.8219473475287306,0.06421653625488445,0.8006535947712419,16.0,87.89077013600036
51,1.2016021571699171,0.8219473475287306,0.06421653625488445,0.7973856209150327,17.0,88.85888569100644
52,1.1816021571699171,0.8219473475287306,0.06421653625488445,0.7973856209150327,16.0,90.36742635600967
53,1.188696484075146,0.8219473475287306,0.05823896773527652,0.8104575163398693,16.0,96.63782765500946
54,1.2088707759266086,0.8219473475287306,0.05841325958673922,0.8104575163398693,17.0,97.24029382399749
55,1.2078588542730506,0.8219473475287306,0.044721599371089805,0.8431372549019608,16.0,98.2751286610146
56,1.2009561682006091,0.8219473475287306,0.04147904401760247,0.8594771241830066,15.0,98.92042594001396
57,1.1787944771015244,0.8219473475287306,0.042585326774726755,0.8562091503267975,14.0,99.98274811299052
58,1.125601365052499,0.8219473475287306,0.04573208400674729,0.8398692810457516,12.0,105.44378593598958
59,1.1343958526852866,0.8219473475287306,0.03531088536502508,0.8790849673202614,11.0,109.47412193199852
