Iteration,obj,obj_bound,cost,loss,comp,time
1,1.065816783585476,1.065816783585476,0.011176260709658811,0.934640522875817,6.0,0.550185269996291
2,1.0824094185956565,1.065816783585476,0.014304843432257632,0.9281045751633987,7.0,3.193859546998283
3,0.8704558861207375,0.8704558861207375,0.05071732402923422,0.6797385620915033,7.0,5.422742283000844
4,0.8860883096693718,0.8704558861207375,0.05288569529028669,0.673202614379085,8.0,8.08767996201641
5,0.8970396893081606,0.8704558861207375,0.05115733636698402,0.7058823529411765,7.0,9.104494314000476
6,0.8972930325491706,0.8704558861207375,0.04814270575178488,0.7091503267973857,7.0,10.167073527001776
7,0.8531236202724393,0.8531236202724393,0.05050924118747196,0.7026143790849673,5.0,14.217065089003881
8,0.9552305483458969,0.8531236202724393,0.031701136581191135,0.8235294117647058,5.0,17.31410400601453
9,0.9456404897542374,0.8531236202724393,0.031522842695413805,0.7941176470588236,6.0,18.407202004018473
10,0.9656404897542374,0.8531236202724393,0.031522842695413805,0.7941176470588236,7.0,20.353958532010438
11,0.9656404897542374,0.8531236202724393,0.031522842695413805,0.7941176470588236,7.0,22.54146573599428
12,0.9754080996975648,0.8531236202724393,0.03436234806357763,0.7810457516339869,8.0,24.065400249004597
13,1.0009169516220084,0.8531236202724393,0.03699538299455748,0.803921568627451,8.0,25.503518832003465
14,1.0106773349099596,0.8531236202724393,0.043095635563554335,0.7875816993464052,9.0,26.824064640997676
15,0.9157572991373149,0.8531236202724393,0.07235860632685731,0.6633986928104575,9.0,28.980492205999326
16,0.9048204802673623,0.8531236202724393,0.07161786588827722,0.673202614379085,8.0,34.735490046005
17,0.8776608299072681,0.8531236202724393,0.1028895880772028,0.5947712418300654,9.0,36.23534457801725
18,0.8781883518208211,0.8531236202724393,0.12590077012147463,0.5522875816993464,10.0,37.2242691089923
19,0.9521783885628392,0.8531236202724393,0.118191460458264,0.6339869281045751,10.0,41.73741398999118
20,0.8922478992981743,0.8531236202724393,0.12976423916745541,0.5424836601307189,11.0,42.48841838599765
21,0.9152623477866046,0.8531236202724393,0.12951071379967655,0.5457516339869282,12.0,44.5880810689996
22,1.0871592099179943,0.8531236202724393,0.08611345828400742,0.7810457516339869,11.0,48.83573716299725
23,1.0111719696357029,0.8531236202724393,0.1350935382631539,0.696078431372549,9.0,55.324000988010084
24,0.9747530106986635,0.8531236202724393,0.1444262133130426,0.650326797385621,9.0,57.43072808699799
25,0.9913543179671458,0.8531236202724393,0.14429549443773407,0.6470588235294119,10.0,58.188066377013456
26,1.1082615006694478,0.8531236202724393,0.020156925506049053,0.9281045751633987,8.0,60.75852050699177
27,1.0990706539196264,0.8531236202724393,0.027305948037273306,0.9117647058823529,8.0,63.04934424799285
28,1.1056055733525687,0.8531236202724393,0.01789315505191482,0.9477124183006536,7.0,63.54156258699368
29,1.1256055733525685,0.8531236202724393,0.01789315505191482,0.9477124183006536,8.0,66.4076574970095
30,1.1422068806210508,0.8531236202724393,0.01776243617660629,0.9444444444444444,9.0,67.48677685001167
31,1.159666395099635,0.8531236202724393,0.018489924511399695,0.9411764705882353,10.0,68.33227519801585
32,1.1461528166237347,0.8531236202724393,0.033995953878636534,0.892156862745098,11.0,70.55414945399389
33,1.1661528166237347,0.8531236202724393,0.033995953878636534,0.892156862745098,12.0,72.05810950399609
34,1.1831192516944085,0.8531236202724393,0.034230362805519596,0.8888888888888888,13.0,72.96892560299602
35,1.1834220479836235,0.8531236202724393,0.03453315909473444,0.8888888888888888,13.0,73.77193899900885
36,1.2014291305779103,0.8531236202724393,0.03580821554523051,0.8856209150326797,14.0,74.22332535599708
37,1.2175583974270892,0.8531236202724393,0.03520545625061868,0.8823529411764706,15.0,74.70651425101096
38,1.204475810378377,0.8531236202724393,0.04173071233916145,0.8627450980392157,15.0,75.76037897501374
39,1.2212412449293089,0.8531236202724393,0.041764120746302355,0.8594771241830066,16.0,76.41230556200026
40,1.2243262496039062,0.8531236202724393,0.0383131777084813,0.8660130718954249,16.0,78.94341556800646
41,1.241225305475236,0.8531236202724393,0.03848020743602035,0.8627450980392157,17.0,79.68141468701651
42,1.2595186940702936,0.8531236202724393,0.04330954374349631,0.8562091503267975,18.0,80.67915877400083
43,1.0823549370938628,0.8531236202724393,0.07490395670170594,0.6274509803921571,19.0,83.60583230401971
44,1.0654558812225328,0.8531236202724393,0.0747369269741669,0.6307189542483662,18.0,83.71412649800186
45,1.0869944359672714,0.8531236202724393,0.07300750786269612,0.6339869281045754,19.0,85.46577148500364
46,1.103084738556432,0.8531236202724393,0.072365784308066,0.6307189542483662,20.0,88.65162863899604
47,1.1128741360043026,0.8531236202724393,0.07195910332456402,0.6209150326797388,21.0,90.31245024100645
48,1.1197914505325155,0.8531236202724393,0.07887641785277691,0.6209150326797388,21.0,95.30194471101277
49,1.1159076025105537,0.8531236202724393,0.07211675283735108,0.6437908496732028,20.0,95.85885020901333
50,1.1476664394126552,0.8531236202724393,0.07733964202703449,0.650326797385621,21.0,97.02364567801123
51,1.1461006323939167,0.8531236202724393,0.08191762585796906,0.6241830065359479,22.0,98.30921284100623
52,1.1293351978429849,0.8531236202724393,0.08188421745082816,0.6274509803921571,21.0,98.66103273301269
53,1.1029771764825964,0.8531236202724393,0.06938240524076619,0.6535947712418302,19.0,102.95127729701926
54,1.086938686612037,0.8531236202724393,0.07007594151399768,0.6568627450980393,18.0,103.47133069799747
55,1.103719917604678,0.8531236202724393,0.07012514636284758,0.6535947712418302,19.0,104.1525192480185
56,1.1197584074752371,0.8531236202724393,0.0694316100896161,0.650326797385621,20.0,104.65592052199645
57,1.2926184791775728,0.8531236202724393,0.030265538001101894,0.8823529411764706,19.0,107.05590403199312
58,1.2808474961434433,0.8531236202724393,0.04463834581664582,0.8562091503267975,19.0,111.36269493901636
59,1.2791699444535076,0.8531236202724393,0.036817003277036964,0.8823529411764706,18.0,112.26688121500774
60,1.2630660950716754,0.8531236202724393,0.037445180038995725,0.8856209150326797,17.0,113.563382990018
