Iteration,obj,obj_bound,cost,loss,comp,time
1,1.0983136209980275,1.0783136209980275,0.002313620998027524,0.996,5.0,2.1240212689735927
2,1.104097445033377,1.0783136209980275,0.004097445033376884,0.98,6.0,10.558208455971908
3,1.104097445033377,1.0783136209980275,0.004097445033376884,0.98,6.0,14.2670231119846
4,1.0983136209980275,1.0783136209980275,0.002313620998027524,0.996,5.0,15.072557752020657
5,1.0891645450244085,1.0783136209980275,0.06516454502440854,0.924,5.0,23.670878874021582
6,1.101010015424146,1.0783136209980275,0.06901001542414605,0.912,6.0,26.399620658019558
7,1.09549030045322,1.0783136209980275,0.09949030045321994,0.876,6.0,41.97026646300219
8,1.11549030045322,1.0783136209980275,0.09949030045321994,0.876,7.0,44.236575140967034
9,1.1335022510293002,1.0783136209980275,0.1335022510293001,0.8400000000000001,8.0,51.468681615020614
10,1.1516056476783318,1.0783136209980275,0.13560564767833183,0.8360000000000001,9.0,53.16079203801928
11,1.1127568415485418,1.0783136209980275,0.16875684154854187,0.764,9.0,75.2529131930205
12,1.1307856252371946,1.0783136209980275,0.16678562523719465,0.764,10.0,84.11166999599664
13,1.1293352896361868,1.0783136209980275,0.16533528963618677,0.764,10.0,93.73371491400758
14,1.148899915604171,1.0783136209980275,0.16489991560417086,0.764,11.0,95.00288225401891
15,1.1514063424134795,1.0783136209980275,0.16740634241347946,0.764,11.0,96.22744481597329
16,1.1714063424134795,1.0783136209980275,0.16740634241347946,0.764,12.0,104.41409341502003
17,1.162241797389071,1.0783136209980275,0.10224179738907094,0.84,11.0,105.04790188797051
18,1.1575493465307274,1.0783136209980275,0.18154934653072743,0.756,11.0,147.11540006200084
19,1.1685217363111116,1.0783136209980275,0.032521736311111764,0.956,9.0,173.85430401796475
20,1.1858315842885485,1.0783136209980275,0.04583158428854857,0.94,10.0,175.91727888799505
21,1.2025149443962073,1.0783136209980275,0.04651494439620739,0.9359999999999999,11.0,180.62168680201285
22,1.1852050964187706,1.0783136209980275,0.033205096418770584,0.952,10.0,181.617398796021
23,1.1984731357607628,1.0783136209980275,0.02647313576076281,0.972,10.0,185.8275893710088
24,1.2043838773118223,1.0783136209980275,0.05238387731182226,0.9319999999999999,11.0,193.6687942770077
25,1.2148779985522697,1.0783136209980275,0.050877998552269696,0.9239999999999999,12.0,196.24842821998755
26,1.2040536321621016,1.0783136209980275,0.060053632162101626,0.904,12.0,199.4302913660067
