Iteration,obj,obj_bound,cost,loss,comp,time
1,1.1401928590077586,1.1401928590077586,0.02202654770711906,0.9381663113006397,9.0,1.0391153481323272
2,1.1538981393646575,1.1401928590077586,0.02639280887425252,0.9275053304904051,10.0,1.6136629560496658
3,1.1746000201505178,1.1401928590077586,0.024962493498065817,0.929637526652452,11.0,5.407316524069756
4,1.160894739793619,1.1401928590077586,0.020596232330932353,0.9402985074626866,10.0,5.602713843109086
5,1.180894739793619,1.1401928590077586,0.020596232330932353,0.9402985074626866,11.0,8.182272205129266
6,1.199473275398165,1.1401928590077586,0.02130696409752531,0.9381663113006397,12.0,9.739150270121172
7,1.2162560274858225,1.1401928590077586,0.022354108509276504,0.9339019189765458,13.0,11.0045340009965
8,1.199473275398165,1.1401928590077586,0.02130696409752531,0.9381663113006397,12.0,11.99588591302745
9,1.2191420792482979,1.1401928590077586,0.023107964109705153,0.9360341151385928,13.0,13.318808438023552
10,1.2005635436437518,1.1401928590077586,0.022397232343112198,0.9381663113006397,12.0,13.7623973749578
11,1.21054458364137,1.1401928590077586,0.033700233961199214,0.9168443496801706,13.0,15.800673511112109
12,1.1862121646392108,1.1401928590077586,0.06348295355179066,0.8827292110874201,12.0,34.060240236110985
13,1.2045111457559954,1.1401928590077586,0.06391413083062229,0.8805970149253731,13.0,34.53517906903289
14,1.2183633052415197,1.1401928590077586,0.07695605577456886,0.8614072494669509,14.0,36.42646765313111
15,1.239972610368754,1.1401928590077586,0.07856536090180319,0.8614072494669509,15.0,39.58430186309852
16,1.2461759740803826,1.1401928590077586,0.07969409774776018,0.8464818763326226,16.0,41.95086747291498
17,1.259810777826837,1.1401928590077586,0.0818576861424021,0.837953091684435,17.0,43.13000053912401
18,1.2772853088286027,1.1401928590077586,0.08359660946826164,0.8336886993603412,18.0,44.299010870978236
19,1.2022693325945788,1.1401928590077586,0.04887914069692436,0.8933901918976546,13.0,51.678429793100804
20,1.2178906806919985,1.1401928590077586,0.059425861928672385,0.8784648187633263,14.0,53.94059742311947
21,1.2242224847465866,1.1401928590077586,0.060683039117588856,0.8635394456289979,15.0,56.52076423401013
22,1.233515089300504,1.1401928590077586,0.04225709356489646,0.8912579957356077,15.0,63.069286291021854
23,1.2438894021343094,1.1401928590077586,0.05182117185712394,0.8720682302771855,16.0,65.42861782503314
24,1.1963906806826088,1.1401928590077586,0.05762735445659595,0.8187633262260128,16.0,74.18961833696812
25,1.210615972501686,1.1401928590077586,0.05824923476181401,0.8123667377398721,17.0,77.28925163811073
26,1.226454034091205,1.1401928590077586,0.06555851170314499,0.8208955223880597,17.0,85.64421551511623
27,1.246799830149579,1.1401928590077586,0.06590430776151932,0.8208955223880597,18.0,89.52346933702938
28,1.2711341031176022,1.1401928590077586,0.035099987979009546,0.9360341151385927,15.0,97.36111067398451
29,1.2529084769271193,1.1401928590077586,0.017684596330104458,0.9552238805970149,14.0,100.614551207982
30,1.2326898138073403,1.1401928590077586,0.017465933210325628,0.9552238805970149,13.0,104.11627821507864
31,1.228980758662046,1.1401928590077586,0.018021270389125214,0.9509594882729211,13.0,112.18202969594859
32,1.1878977506472352,1.1401928590077586,0.01693826237431412,0.9509594882729211,11.0,122.34073627204634
33,1.2073192725651594,1.1401928590077586,0.01635978429223817,0.9509594882729211,12.0,125.68134599691257
34,1.2234516746361601,1.1401928590077586,0.016756578687333008,0.9466950959488273,13.0,129.6789645520039
35,1.2425419368956727,1.1401928590077586,0.017979037108892426,0.9445628997867804,14.0,130.86426867893897
36,1.25611392611114,1.1401928590077586,0.02221200713459447,0.9339019189765458,15.0,133.52500345301814
37,1.262538992981196,1.1401928590077586,0.01797609319441592,0.9445628997867804,15.0,136.70672839693725
38,1.262538992981196,1.1401928590077586,0.01797609319441592,0.9445628997867804,15.0,137.1237792149186
39,1.2434487307216837,1.1401928590077586,0.0167536347728565,0.9466950959488273,14.0,137.57759960298426
40,1.2662634775479897,1.1401928590077586,0.01956838159916265,0.9466950959488273,15.0,145.27929156203754
41,1.2860707729689154,1.1401928590077586,0.01937567702008822,0.9466950959488273,16.0,148.1154542970471
42,1.2860707729689154,1.1401928590077586,0.01937567702008822,0.9466950959488273,16.0,149.79799844510853
