Iteration,obj,obj_bound,cost,loss,comp,time
1,1.1130232373411275,1.1065891288139957,0.03821703579073989,0.9748062015503876,5.0,1.6154057269450277
2,0.9449526177443719,0.9449526177443719,0.023247191387782796,0.8217054263565892,5.0,4.803096824907698
3,0.952704555728868,0.9449526177443719,0.023247191387782796,0.8294573643410853,5.0,6.312354484922253
4,0.9705426217351056,0.9449526177443719,0.032713164370764464,0.8178294573643411,6.0,9.10771367396228
5,1.117015497824526,0.9449526177443719,0.012519373793518241,0.9844961240310077,6.0,15.612736579962075
6,1.106265338936929,0.9449526177443719,0.09998626916948702,0.8662790697674418,7.0,17.92189956200309
7,1.120451385448557,0.9449526177443719,0.09998626916948702,0.8604651162790697,8.0,19.504810923943296
8,1.1372752400637607,0.9449526177443719,0.10843803076143493,0.8488372093023255,9.0,21.03995147999376
9,1.1712015443361539,0.9449526177443719,0.012519373793518241,0.9786821705426356,9.0,26.21362006396521
10,1.1760120481834726,0.9449526177443719,0.020585691594325144,0.9554263565891473,10.0,27.61566455697175
11,1.196421178081998,0.9449526177443719,0.020994821492850497,0.9554263565891473,11.0,29.75601841195021
12,1.178359162578122,0.9449526177443719,0.020994821492850493,0.9573643410852714,10.0,31.531698519946076
13,1.1983656187410474,0.9449526177443719,0.02875321564027191,0.9496124031007752,11.0,32.870232572895475
14,1.211847531399421,0.9449526177443719,0.028049081787017698,0.9437984496124031,12.0,34.68683933094144
15,1.2303186768018222,0.9449526177443719,0.02845821168554305,0.9418604651162791,13.0,36.10773822700139
16,1.221352269391283,0.9449526177443719,0.027243742259500013,0.9341085271317829,13.0,38.20498430496082
17,1.202881123988882,0.9449526177443719,0.02683461236097466,0.936046511627907,12.0,39.305498659959994
18,1.222881123988882,0.9449526177443719,0.02683461236097466,0.936046511627907,13.0,40.81935441598762
19,1.2423471019312209,0.9449526177443719,0.026300590303313692,0.936046511627907,14.0,41.99005587899592
20,1.2320370244118408,0.9449526177443719,0.026300590303313692,0.9457364341085271,13.0,42.67505708197132
21,1.250008600685542,0.9449526177443719,0.026210151073138933,0.9437984496124031,14.0,44.8831585359294
22,1.2580124750188075,0.9449526177443719,0.02840007191803226,0.9496124031007752,14.0,46.52116704394575
23,1.2406955062247569,0.9449526177443719,0.030462948085222014,0.9302325581395349,14.0,60.27025825798046
24,1.2202863763262317,0.9449526177443719,0.030053818186696668,0.9302325581395349,13.0,62.14340262289625
25,1.2003036028434022,0.9449526177443719,0.03007104470386733,0.9302325581395349,12.0,65.24290505191311
26,1.1977626928720122,0.9449526177443719,0.02365416574022914,0.9341085271317829,12.0,75.27916460996494
27,1.1951657906203799,0.9449526177443719,0.028809201473093023,0.9263565891472868,12.0,76.95466745598242
28,1.1761455609429812,0.9449526177443719,0.00715331288096566,0.9689922480620154,10.0,85.94204292993527
29,1.1959216161983912,0.9449526177443719,0.006929368136375664,0.9689922480620154,11.0,87.8092125369003
30,1.1812790668104114,0.9449526177443719,0.006472865260023981,0.9748062015503876,10.0,88.363928087987
31,1.1812790668104114,0.9449526177443719,0.006472865260023981,0.9748062015503876,10.0,89.00541698292363
32,1.1612790668104114,0.9449526177443719,0.006472865260023981,0.9748062015503876,9.0,91.41487671993673
33,1.1614125723248268,0.9449526177443719,0.006606370774439221,0.9748062015503876,9.0,92.62598087696824
34,1.1814125723248268,0.9449526177443719,0.006606370774439221,0.9748062015503876,10.0,96.48881098697893
35,1.2027304014498856,0.9449526177443719,0.007924199899498033,0.9748062015503876,11.0,98.24591363000218
36,1.1832644235075465,0.9449526177443719,0.008458221957158998,0.9748062015503876,10.0,98.99399276496843
37,1.1518518446343566,0.9449526177443719,0.016425488045209175,0.9554263565891473,9.0,106.15152260300238
38,1.1729694149201668,0.9449526177443719,0.017543058331019525,0.9554263565891473,10.0,107.35591526597273
39,1.152835911675743,0.9449526177443719,0.013533586094347617,0.9593023255813954,9.0,107.65584569389466
40,1.1514674107547709,0.9449526177443719,0.01410306966949957,0.9573643410852714,9.0,109.20363194390666
41,1.1710281322510987,0.9449526177443719,0.017539760158075488,0.9534883720930233,10.0,110.25660723191686
42,1.1913037566794795,0.9449526177443719,0.017815384586456335,0.9534883720930233,11.0,111.54496240592562
43,1.1466332152778789,0.9449526177443719,0.015780502099584336,0.9108527131782946,11.0,113.2675750919152
44,1.1631319231306085,0.9449526177443719,0.01615517894456208,0.9069767441860466,12.0,115.10152252495755
45,1.1831319231306086,0.9449526177443719,0.01615517894456208,0.9069767441860466,13.0,116.76982705492992
46,1.1837757665835436,0.9449526177443719,0.012923053405248835,0.9108527131782946,13.0,118.08764591091312
47,1.1672770587308139,0.9449526177443719,0.01254837656027109,0.9147286821705426,12.0,120.23247056896798
48,1.187277058730814,0.9449526177443719,0.01254837656027109,0.9147286821705426,13.0,122.08542130689602
49,1.1672770587308139,0.9449526177443719,0.01254837656027109,0.9147286821705426,12.0,123.46925891400315
50,1.1459302224861514,0.9449526177443719,0.024147276749717096,0.8817829457364341,12.0,133.67416682397015
51,1.1624289315645193,0.9449526177443719,0.022583970324209092,0.8798449612403101,13.0,134.7789828509558
52,1.1352928372791118,0.9449526177443719,0.030951752007793897,0.8643410852713178,12.0,143.0936965609435
53,1.0980447801094086,0.9449526177443719,0.022075787861346664,0.875968992248062,10.0,146.4531768829329
54,1.0911584748997896,0.9449526177443719,0.0229414206362237,0.8682170542635659,10.0,147.4919358389452
55,1.1111584748997896,0.9449526177443719,0.0229414206362237,0.8682170542635659,11.0,149.8787758689141
56,1.1015116192031316,0.9449526177443719,0.021666657962821318,0.8798449612403101,10.0,150.12067487696186
57,1.096847534790107,0.9449526177443719,0.026072340991657124,0.8507751937984496,11.0,151.33367399894632
58,1.0497631205168168,0.9449526177443719,0.03712746160208778,0.7926356589147286,11.0,153.17910933599342
59,1.0297631205168167,0.9449526177443719,0.03712746160208778,0.7926356589147286,10.0,155.5432509809034
60,1.0457708715171004,0.9449526177443719,0.038949166090743635,0.7868217054263567,11.0,157.70245079696178
61,0.903742437958944,0.903742437958944,0.06358739919925416,0.6201550387596899,11.0,167.9816713728942
