cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions
0.00961595737219018,0.953551912568306,0.9631678699404962,0.01092891281227149,0.9767441860465116,0.9876730988587831,2799.4085717470152,8
0.00907842383280726,0.9809885931558935,0.9900670169887007,0.004850546577927054,1.0,1.0048505465779272,4127.635123196989,8
0.011332633894650845,0.9756838905775076,0.9870165244721585,0.006703222883003614,0.9777777777777777,0.9844810006607814,2629.955420727958,8
0.005870125373369351,0.9961240310077519,1.0019941563811212,0.010585852259008401,1.0,1.0105858522590083,4234.885616057902,8
0.0,1.0,1.0,0.0,1.0,1.0,5726.234291363042,8
0.005978984610098095,0.9935794542536116,0.9995584388637097,0.0027343754942173656,1.0,1.0027343754942173,5288.836891450104,8
0.004120353574221709,0.9944649446494465,0.9985852982236681,0.004735900749516802,1.0,1.004735900749517,4669.976108152885,8
0.0025402002627429717,0.9982964224872232,1.000836622749966,0.003565176093814226,0.9827586206896551,0.9863237967834694,5148.392280301079,8
0.019803593661680597,0.9637526652452025,0.9835562589068831,0.02064346367876255,0.9846153846153847,1.0052588482941471,4207.998388584936,8
0.028730720506391416,0.948780487804878,0.9775112083112694,0.026878383383546804,0.9782608695652174,1.0051392529487642,3752.60603710101,8
