cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions
0.06377957816432236,0.6010928961748634,0.6648724743391857,0.05806199732896101,0.5813953488372093,0.6394573461661703,8597.555950126029,4
0.09105022325982234,0.07034220532319392,0.16139242858301628,0.08739348304315382,0.0847457627118644,0.1721392457550182,7171.620795296971,8
0.1169547510962061,0.45592705167173253,0.5728818027679387,0.12507698646645657,0.4666666666666667,0.5917436531331233,8211.801652393071,6
0.08393623116134082,0.08527131782945736,0.16920754899079818,0.08261767245792978,0.06779661016949153,0.1504142826274213,7111.167806054931,3
0.2647099220168593,0.07725947521865889,0.34196939723551817,0.25919052322935165,0.09876543209876543,0.3579559553281171,10907.549558744999,6
0.26897525264981564,0.06581059390048154,0.3347858465502972,0.2654257585223556,0.015625,0.2810507585223556,11100.84774316696,9
0.061250493568086116,0.09040590405904059,0.1516563976271267,0.06111109227461685,0.08064516129032258,0.14175625356493943,8232.038066098932,4
0.06572484633182818,0.4991482112436116,0.5648730575754397,0.06618493864300695,0.4827586206896552,0.5489435593326621,14174.996395898983,4
0.0968699749252847,0.34541577825159914,0.44228575317688384,0.10129083254274415,0.2923076923076923,0.39359852485043645,11156.033235364128,8
0.09401893436273746,0.12682926829268293,0.22084820265542038,0.0952173548655243,0.17391304347826086,0.26913039834378516,13032.621236670995,5
