cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions
0.5177189829389549,0.14705882352941177,0.6647778064683667,0.47895391330125736,0.10810810810810811,0.5870620214093655,18933.688250949024,10
0.22996417454647658,0.0106951871657754,0.24065936171225197,0.14990727868929107,0.05555555555555555,0.20546283424484663,24641.89223917696,6
0.2334741419371658,0.46,0.6934741419371658,0.12067329699399677,0.6538461538461539,0.7745194508401506,21084.87604472501,5
0.2932637661511334,0.2714285714285714,0.5646923375797048,0.30657586571464457,0.5454545454545454,0.85203041116919,26362.990841740975,8
0.19361827008056173,0.0,0.19361827008056173,0.16723380619049452,0.0,0.16723380619049452,27637.082109814975,3
0.3484469263702139,0.2948207171314741,0.643267643501688,0.36366951967124983,0.2962962962962963,0.6599658159675461,20247.90720779507,5
0.3161478785594225,0.19172932330827067,0.5078772018676931,0.3208481569554944,0.2222222222222222,0.5430703791777166,33530.79658306402,6
0.19044294015544672,0.26153846153846155,0.45198140169390827,0.21633148437824143,0.20833333333333334,0.42466481771157477,28498.56925168098,7
0.5119358388175616,0.23508771929824562,0.7470235581158071,0.47995123037334536,0.3055555555555556,0.7855067859289009,35154.920826178975,7
0.28940939834767854,0.105,0.3944093983476785,0.35203464054052247,0.18518518518518517,0.5372198257257077,34001.27478941495,10
