iteration,gamma,cost,loss,obj
0,0.1,0.05599998281437524,0.1,0.06599998281437523
0,0.2,0.05599998281437524,0.1,0.07599998281437523
0,0.3,0.05599998281437524,0.1,0.08599998281437524
0,0.4,0.05599998281437524,0.1,0.09599998281437525
0,0.5,0.05599998281437524,0.1,0.10599998281437524
0,0.6,0.05599998281437524,0.1,0.11599998281437522
0,0.7,0.05599998281437524,0.1,0.12599998281437524
0,0.8,0.05599998281437524,0.1,0.13599998281437525
0,0.9,0.05599998281437524,0.1,0.14599998281437526
0,1.0,0.05599998281437524,0.1,0.15599998281437524
1,0.1,0.05599998281437509,0.3,0.0859999828143751
1,0.2,0.05599998281437524,0.3,0.11599998281437525
1,0.3,0.05599998281437524,0.3,0.14599998281437523
1,0.4,0.05599998281437524,0.3,0.17599998281437526
1,0.5,0.05599998281437524,0.3,0.2059999828143752
1,0.6,0.05599998281437524,0.3,0.2359999828143752
1,0.7,0.12153852131863492,0.2,0.2615385213186349
1,0.8,0.12153852131863492,0.2,0.28153852131863494
1,0.9,0.20493306587317894,0.1,0.2949330658731789
1,1.0,0.20493306587317894,0.1,0.3049330658731789
2,0.1,0.05599998281437524,0.3,0.08599998281437524
2,0.2,0.05599998281437524,0.3,0.11599998281437525
2,0.3,0.05599998281437524,0.3,0.14599998281437523
2,0.4,0.05599998281437524,0.3,0.17599998281437526
2,0.5,0.05599998281437524,0.3,0.2059999828143752
2,0.6,0.055999981941091105,0.3,0.2359999819410911
2,0.7,0.18316725166138767,0.1,0.25316725166138765
2,0.8,0.18316725166138767,0.1,0.2631672516613877
2,0.9,0.18316725166138767,0.1,0.27316725166138767
2,1.0,0.18316725166138767,0.1,0.2831672516613877
3,0.1,0.06262676263886849,0.2,0.0826267626388685
3,0.2,0.07494338229154782,0.1,0.09494338229154782
3,0.3,0.07494338229154782,0.1,0.1049433822915478
3,0.4,0.07494338229154782,0.1,0.11494338229154781
3,0.5,0.07494338219154781,0.1,0.12494338219154781
3,0.6,0.07494338229154782,0.1,0.13494338229154781
3,0.7,0.07494338229154779,0.1,0.1449433822915478
3,0.8,0.07494338229154782,0.1,0.1549433822915478
3,0.9,0.07494338229154782,0.1,0.1649433822915478
3,1.0,0.07494338229154816,0.1,0.17494338229154818
4,0.1,0.05599998281437524,0.4,0.09599998281437525
4,0.2,0.08539760999669574,0.2,0.12539760999669575
4,0.3,0.0853976099966958,0.2,0.14539760999669576
4,0.4,0.08539760999669578,0.2,0.16539760999669578
4,0.5,0.08539760999669575,0.2,0.18539760999669577
4,0.6,0.08539760999669575,0.2,0.20539760999669573
4,0.7,0.08539760999669575,0.2,0.22539760999669575
4,0.8,0.08539760999669578,0.2,0.24539760999669577
4,0.9,0.08539760999669582,0.2,0.2653976099966958
4,1.0,0.0853976096966958,0.2,0.2853976096966958
5,0.1,0.0,1.0,0.1
5,0.2,0.0,1.0,0.2
5,0.3,0.0,1.0,0.3
5,0.4,0.14326828160522811,0.6,0.38326828160522813
5,0.5,0.19059129689458815,0.5,0.44059129689458815
5,0.6,0.19059129689458815,0.5,0.49059129689458814
5,0.7,0.19059129689458815,0.5,0.5405912968945882
5,0.8,0.19059129689458815,0.5,0.5905912968945881
5,0.9,0.19059129689458815,0.5,0.6405912968945882
5,1.0,0.19059129689458815,0.5,0.6905912968945882
6,0.1,0.0,1.0,0.1
6,0.2,0.0,1.0,0.2
6,0.3,0.0,1.0,0.3
6,0.4,0.3052730851451769,0.0,0.3052730851451769
6,0.5,0.3052730851451769,0.0,0.3052730851451769
6,0.6,0.3052730851451769,0.0,0.3052730851451769
6,0.7,0.3052730851451769,0.0,0.3052730851451769
6,0.8,0.3052730848451769,0.0,0.3052730848451769
6,0.9,0.3052730851451769,0.0,0.3052730851451769
6,1.0,0.3052730851451769,0.0,0.3052730851451769
7,0.1,0.0,1.0,0.1
7,0.2,0.0,1.0,0.2
7,0.3,0.0,1.0,0.3
7,0.4,0.14326828160522814,0.6,0.3832682816052282
7,0.5,0.19059129689458815,0.5,0.44059129689458815
7,0.6,0.19059129689458815,0.5,0.49059129689458814
7,0.7,0.19059129689458815,0.5,0.5405912968945882
7,0.8,0.19059129689458815,0.5,0.5905912968945881
7,0.9,0.19059129689458815,0.5,0.6405912968945882
7,1.0,0.19059129689458815,0.5,0.6905912968945882
8,0.1,0.059329224707761065,0.3,0.08932922470776107
8,0.2,0.059329224707761065,0.3,0.11932922470776108
8,0.3,0.059329224707761065,0.3,0.14932922470776105
8,0.4,0.059329224707761065,0.3,0.17932922470776108
8,0.5,0.059329224707761065,0.3,0.20932922470776108
8,0.6,0.059329224707761065,0.3,0.23932922470776105
8,0.7,0.059329224707761065,0.3,0.26932922470776105
8,0.8,0.13059926362071686,0.2,0.29059926362071686
8,0.9,0.29999981650339275,0.0,0.29999981650339275
8,1.0,0.29999981650339275,0.0,0.29999981650339275
9,0.1,0.05599998281437524,0.1,0.06599998281437523
9,0.2,0.05599998281437524,0.1,0.07599998281437523
9,0.3,0.05599998281437524,0.1,0.08599998281437524
9,0.4,0.05599998281437524,0.1,0.09599998281437525
9,0.5,0.05599998281437524,0.1,0.10599998281437524
9,0.6,0.11466661790187019,0.0,0.11466661790187019
9,0.7,0.11466661790187019,0.0,0.11466661790187019
9,0.8,0.11466661790187019,0.0,0.11466661790187019
9,0.9,0.11466661790187019,0.0,0.11466661790187019
9,1.0,0.11466661790187019,0.0,0.11466661790187019
10,0.1,0.0,1.0,0.1
10,0.2,0.0,1.0,0.2
10,0.3,0.0,1.0,0.3
10,0.4,0.1404649500663911,0.6,0.38046495006639114
10,0.5,0.1404649500663911,0.6,0.44046495006639114
10,0.6,0.14046495006639104,0.6,0.500464950066391
10,0.7,0.14046495006639104,0.6,0.560464950066391
10,0.8,0.14046495006639104,0.6,0.6204649500663911
10,0.9,0.22398207644304474,0.5,0.6739820764430448
10,1.0,0.413290299697748,0.3,0.7132902996977479
11,0.1,0.059329224707761065,0.3,0.08932922470776107
11,0.2,0.059329224707761065,0.3,0.11932922470776108
11,0.3,0.059329224707761065,0.3,0.14932922470776105
11,0.4,0.059329224707761065,0.3,0.17932922470776108
11,0.5,0.059329224707761065,0.3,0.20932922470776108
11,0.6,0.059329224707761065,0.3,0.23932922470776105
11,0.7,0.059329224707761065,0.3,0.26932922470776105
11,0.8,0.1305992642207186,0.2,0.2905992642207186
11,0.9,0.29999981650339275,0.0,0.29999981650339275
11,1.0,0.29999981650339275,0.0,0.29999981650339275
12,0.1,0.05599998281437524,0.2,0.07599998281437523
12,0.2,0.05599998281437524,0.2,0.09599998281437525
12,0.3,0.05599998281437524,0.2,0.11599998281437522
12,0.4,0.05599998281437524,0.2,0.13599998281437525
12,0.5,0.05599998281437524,0.2,0.15599998281437524
12,0.6,0.05599998281437524,0.2,0.17599998281437523
12,0.7,0.05599998281437524,0.2,0.19599998281437522
12,0.8,0.05599998281437524,0.2,0.21599998281437527
12,0.9,0.05599998281437524,0.2,0.23599998281437523
12,1.0,0.05599998281437524,0.2,0.2559999828143752
13,0.1,0.05599998281437524,0.3,0.08599998281437524
13,0.2,0.07502163131095221,0.2,0.11502163131095222
13,0.3,0.07502163131095221,0.2,0.13502163131095218
13,0.4,0.07502163131095223,0.2,0.15502163131095223
13,0.5,0.07502163131095223,0.2,0.17502163131095222
13,0.6,0.07502163131095221,0.2,0.1950216313109522
13,0.7,0.07502163131095221,0.2,0.21502163131095217
13,0.8,0.07502163131095221,0.2,0.2350216313109522
13,0.9,0.07502163131095221,0.2,0.25502163131095223
13,1.0,0.0750216313109522,0.2,0.2750216313109522
14,0.1,0.059329224707761065,0.3,0.08932922470776107
14,0.2,0.059329224707761065,0.3,0.11932922470776108
14,0.3,0.059329224707761065,0.3,0.14932922470776105
