iteration,gamma,cost,loss,obj
21,0.9,0.24612318992390217,0.0,0.24612318992390217
21,1.0,0.24612318992390217,0.0,0.24612318992390217
22,0.1,0.0,1.0,0.1
22,0.2,0.05258761454126927,0.7,0.19258761454126927
22,0.3,0.1340106602574737,0.4,0.25401066025747376
22,0.4,0.1340106602574737,0.4,0.29401066025747374
22,0.5,0.1340106602574737,0.4,0.3340106602574737
22,0.6,0.1340106602574737,0.4,0.3740106602574737
22,0.7,0.1340106602574737,0.4,0.4140106602574737
22,0.8,0.1340106602574737,0.4,0.4540106602574737
22,0.9,0.21807181176175078,0.3,0.48807181176175085
22,1.0,0.21807181176175078,0.3,0.5180718117617508
23,0.1,0.0,1.0,0.1
23,0.2,0.05258761454126927,0.7,0.19258761454126927
23,0.3,0.1340106602574737,0.4,0.25401066025747376
23,0.4,0.1340106602574737,0.4,0.29401066025747374
23,0.5,0.1340106602574737,0.4,0.3340106602574737
23,0.6,0.1340106602574737,0.4,0.3740106602574737
23,0.7,0.1340106602574737,0.4,0.4140106602574737
23,0.8,0.1340106602574737,0.4,0.4540106602574737
23,0.9,0.21807181176175078,0.3,0.48807181176175085
23,1.0,0.21807181176175078,0.3,0.5180718117617508
24,0.1,0.0,1.0,0.1
24,0.2,0.0,1.0,0.2
24,0.3,0.050591303117452024,0.8,0.290591303117452
24,0.4,0.050591303117452024,0.8,0.37059130311745203
24,0.5,0.1361742421696907,0.6,0.4361742421696907
24,0.6,0.1361742421696907,0.6,0.4961742421696907
24,0.7,0.4479848486312942,0.1,0.5179848486312941
24,0.8,0.4479848486312942,0.1,0.5279848486312941
24,0.9,0.4479848486312942,0.1,0.5379848486312941
24,1.0,0.4479848486312942,0.1,0.5479848486312942
25,0.1,0.0,1.0,0.1
25,0.2,0.05358219576843748,0.7,0.1935821957684375
25,0.3,0.05358219576843748,0.7,0.2635821957684375
25,0.4,0.05358219576843748,0.7,0.3335821957684375
25,0.5,0.1440525677054622,0.5,0.3940525677054622
25,0.6,0.1440525677054622,0.5,0.4440525677054622
25,0.7,0.1440525677054622,0.5,0.49405256770546224
25,0.8,0.5312332014060281,0.0,0.5312332014060281
25,0.9,0.5312332014060281,0.0,0.5312332014060281
25,1.0,0.5312332014060281,0.0,0.5312332014060281
26,0.1,0.0,1.0,0.1
26,0.2,0.0,1.0,0.2
26,0.3,0.19258654957106536,0.2,0.25258654957106536
26,0.4,0.19258654957106536,0.2,0.2725865495710654
26,0.5,0.19258654957106536,0.2,0.2925865495710654
26,0.6,0.2943853256586194,0.0,0.2943853256586194
26,0.7,0.2943853256586194,0.0,0.2943853256586194
26,0.8,0.2943853256586194,0.0,0.2943853256586194
26,0.9,0.2943853256586194,0.0,0.2943853256586194
26,1.0,0.2943853256586194,0.0,0.2943853256586194
27,0.1,0.0,1.0,0.1
27,0.2,0.0,1.0,0.2
27,0.3,0.050591303117452024,0.8,0.290591303117452
27,0.4,0.050591303117452024,0.8,0.37059130311745203
27,0.5,0.1361742421696907,0.6,0.4361742421696907
27,0.6,0.1361742421696907,0.6,0.4961742421696907
27,0.7,0.4479848486312942,0.1,0.5179848486312941
27,0.8,0.4479848486312942,0.1,0.5279848486312941
27,0.9,0.4479848486312942,0.1,0.5379848486312941
27,1.0,0.4479848486312942,0.1,0.5479848486312942
28,0.1,0.0,1.0,0.1
28,0.2,0.05258761454126927,0.7,0.19258761454126927
28,0.3,0.1340106602574737,0.4,0.25401066025747376
28,0.4,0.1340106602574737,0.4,0.29401066025747374
28,0.5,0.1340106602574737,0.4,0.3340106602574737
28,0.6,0.1340106602574737,0.4,0.3740106602574737
28,0.7,0.1340106602574737,0.4,0.4140106602574737
28,0.8,0.1340106602574737,0.4,0.4540106602574737
28,0.9,0.21807181176175078,0.3,0.48807181176175085
28,1.0,0.21807181176175078,0.3,0.5180718117617508
29,0.1,0.0,1.0,0.1
29,0.2,0.05358219576843748,0.7,0.1935821957684375
29,0.3,0.05358219576843748,0.7,0.2635821957684375
29,0.4,0.05358219576843748,0.7,0.3335821957684375
29,0.5,0.1440525677054622,0.5,0.3940525677054622
29,0.6,0.1440525677054622,0.5,0.4440525677054622
29,0.7,0.1440525677054622,0.5,0.49405256770546224
29,0.8,0.5312332014060281,0.0,0.5312332014060281
29,0.9,0.5312332014060281,0.0,0.5312332014060281
29,1.0,0.5312332014060281,0.0,0.5312332014060281
30,0.1,0.0,1.0,0.1
30,0.2,0.05258761454126927,0.7,0.19258761454126927
30,0.3,0.1340106602574737,0.4,0.25401066025747376
30,0.4,0.1340106602574737,0.4,0.29401066025747374
30,0.5,0.1340106602574737,0.4,0.3340106602574737
30,0.6,0.1340106602574737,0.4,0.3740106602574737
30,0.7,0.1340106602574737,0.4,0.4140106602574737
30,0.8,0.1340106602574737,0.4,0.4540106602574737
30,0.9,0.21807181176175078,0.3,0.48807181176175085
30,1.0,0.21807181176175078,0.3,0.5180718117617508
31,0.1,0.0,1.0,0.1
31,0.2,0.0,1.0,0.2
31,0.3,0.19258654957106536,0.2,0.25258654957106536
31,0.4,0.19258654957106536,0.2,0.2725865495710654
31,0.5,0.19258654957106536,0.2,0.2925865495710654
31,0.6,0.2943853256586194,0.0,0.2943853256586194
31,0.7,0.2943853256586194,0.0,0.2943853256586194
31,0.8,0.2943853256586194,0.0,0.2943853256586194
31,0.9,0.2943853256586194,0.0,0.2943853256586194
31,1.0,0.2943853256586194,0.0,0.2943853256586194
32,0.1,0.0,1.0,0.1
32,0.2,0.0,1.0,0.2
32,0.3,0.050591303117452024,0.8,0.290591303117452
32,0.4,0.050591303117452024,0.8,0.37059130311745203
32,0.5,0.1361742421696907,0.6,0.4361742421696907
32,0.6,0.1361742421696907,0.6,0.4961742421696907
32,0.7,0.4479848486312942,0.1,0.5179848486312941
32,0.8,0.4479848486312942,0.1,0.5279848486312941
32,0.9,0.4479848486312942,0.1,0.5379848486312941
32,1.0,0.4479848486312942,0.1,0.5479848486312942
33,0.1,0.0,1.0,0.1
33,0.2,0.0,1.0,0.2
33,0.3,0.19258654957106536,0.2,0.25258654957106536
33,0.4,0.19258654957106536,0.2,0.2725865495710654
33,0.5,0.19258654957106536,0.2,0.2925865495710654
33,0.6,0.2943853256586194,0.0,0.2943853256586194
33,0.7,0.2943853256586194,0.0,0.2943853256586194
33,0.8,0.2943853256586194,0.0,0.2943853256586194
33,0.9,0.2943853256586194,0.0,0.2943853256586194
33,1.0,0.2943853256586194,0.0,0.2943853256586194
34,0.1,0.0,1.0,0.1
34,0.2,0.05358219576843748,0.7,0.1935821957684375
34,0.3,0.05358219576843748,0.7,0.2635821957684375
34,0.4,0.05358219576843748,0.7,0.3335821957684375
34,0.5,0.14405256770546218,0.5,0.39405256770546215
34,0.6,0.1440525675054622,0.5,0.4440525675054622
34,0.7,0.14405256770546218,0.5,0.49405256770546213
34,0.8,0.5312332011060193,0.0,0.5312332011060193
34,0.9,0.5312332014060281,0.0,0.5312332014060281
34,1.0,0.5312332014060281,0.0,0.5312332014060281
35,0.1,0.0,1.0,0.1
35,0.2,0.0,1.0,0.2
35,0.3,0.050591303117452024,0.8,0.290591303117452
35,0.4,0.050591303117452024,0.8,0.37059130311745203
35,0.5,0.1361742421696907,0.6,0.4361742421696907
35,0.6,0.1361742421696907,0.6,0.4961742421696907
35,0.7,0.4479848486312942,0.1,0.5179848486312941
35,0.8,0.4479848486312942,0.1,0.5279848486312941
35,0.9,0.4479848486312942,0.1,0.5379848486312941
35,1.0,0.4479848486312942,0.1,0.5479848486312942
36,0.1,0.0,1.0,0.1
36,0.2,0.05258761454126927,0.7,0.19258761454126927
36,0.3,0.1340106602574737,0.4,0.25401066025747376
36,0.4,0.1340106602574737,0.4,0.29401066025747374
36,0.5,0.1340106602574737,0.4,0.3340106602574737
36,0.6,0.1340106602574737,0.4,0.3740106602574737
36,0.7,0.1340106602574737,0.4,0.4140106602574737
36,0.8,0.1340106602574737,0.4,0.4540106602574737
36,0.9,0.21807181176175078,0.3,0.48807181176175085
36,1.0,0.21807181176175078,0.3,0.5180718117617508
37,0.1,0.0,1.0,0.1
37,0.2,0.0,1.0,0.2
37,0.3,0.19258654957106536,0.2,0.25258654957106536
37,0.4,0.19258654957106536,0.2,0.2725865495710654
37,0.5,0.19258654957106536,0.2,0.2925865495710654
37,0.6,0.2943853256586194,0.0,0.2943853256586194
37,0.7,0.2943853256586194,0.0,0.2943853256586194
37,0.8,0.2943853256586194,0.0,0.2943853256586194
37,0.9,0.2943853256586194,0.0,0.2943853256586194
37,1.0,0.2943853256586194,0.0,0.2943853256586194
38,0.1,0.0,1.0,0.1
38,0.2,0.0,1.0,0.2
38,0.3,0.26466927487888214,0.0,0.26466927487888214
38,0.4,0.26466927487888214,0.0,0.26466927487888214
38,0.5,0.26466927487888214,0.0,0.26466927487888214
38,0.6,0.26466927487888214,0.0,0.26466927487888214
38,0.7,0.26466927487888214,0.0,0.26466927487888214
38,0.8,0.26466927487888214,0.0,0.26466927487888214
38,0.9,0.26466927487888214,0.0,0.26466927487888214
38,1.0,0.26466927487888214,0.0,0.26466927487888214
39,0.1,0.0,1.0,0.1
39,0.2,0.0,1.0,0.2
39,0.3,0.19258654957106536,0.2,0.25258654957106536
39,0.4,0.19258654957106536,0.2,0.2725865495710654
39,0.5,0.19258654957106536,0.2,0.2925865495710654
39,0.6,0.2943853256586194,0.0,0.2943853256586194
39,0.7,0.2943853256586194,0.0,0.2943853256586194
39,0.8,0.2943853256586194,0.0,0.2943853256586194
39,0.9,0.2943853256586194,0.0,0.2943853256586194
39,1.0,0.2943853256586194,0.0,0.2943853256586194
40,0.1,0.0,1.0,0.1
40,0.2,0.05358219576843748,0.7,0.1935821957684375
40,0.3,0.05358219576843748,0.7,0.2635821957684375
40,0.4,0.05358219576843748,0.7,0.3335821957684375
40,0.5,0.14405256770546218,0.5,0.39405256770546215
40,0.6,0.14405256770546218,0.5,0.44405256770546214
40,0.7,0.14405256770546218,0.5,0.49405256770546213
40,0.8,0.5312332014060281,0.0,0.5312332014060281
40,0.9,0.5312332014060281,0.0,0.5312332014060281
40,1.0,0.5312332014060281,0.0,0.5312332014060281
41,0.1,0.0,1.0,0.1
41,0.2,0.0,1.0,0.2
41,0.3,0.05245095402827178,0.8,0.29245095402827176
41,0.4,0.052450954128278604,0.8,0.3724509541282786
41,0.5,0.1368613634966014,0.6,0.4368613634966014
41,0.6,0.13686136349660138,0.6,0.49686136349660137
41,0.7,0.471779724442012,0.1,0.541779724442012
41,0.8,0.542482232729816,0.0,0.542482232729816
41,0.9,0.542482232729816,0.0,0.542482232729816
41,1.0,0.542482232729816,0.0,0.542482232729816
42,0.1,0.0,1.0,0.1
42,0.2,0.0,1.0,0.2
42,0.3,0.19258654957106536,0.2,0.25258654957106536
42,0.4,0.19258654957106536,0.2,0.2725865495710654
42,0.5,0.19258654957106536,0.2,0.2925865495710654
42,0.6,0.2943853256586194,0.0,0.2943853256586194
42,0.7,0.2943853256586194,0.0,0.2943853256586194
42,0.8,0.2943853256586194,0.0,0.2943853256586194
42,0.9,0.2943853256586194,0.0,0.2943853256586194
42,1.0,0.2943853256586194,0.0,0.2943853256586194
43,0.1,0.0,1.0,0.1
43,0.2,0.057260914422554286,0.7,0.19726091442255428
