cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions,uncover_train,conflict_train,uncover_test,conflict_test
0.4163091407854537,0.48034934497816595,0.8966584857636197,0.3719417126609521,0.47368421052631576,0.8456259231872678,1342.5903380979998,8,0.1091703056768559,0.23529411764705882,0.10526315789473684,0.29411764705882354
0.40990916362689495,0.4780701754385965,0.8879793390654914,0.44386907261502206,0.2727272727272727,0.7165963453422948,1407.4891728439998,8,0.10087719298245613,0.22926829268292684,0.22727272727272727,0.29411764705882354
0.4097554403789299,0.5176991150442478,0.9274545554231777,0.42977672594029437,0.34615384615384615,0.7759305720941405,1339.9159618110007,8,0.13716814159292035,0.12307692307692308,0.11538461538461539,0.2608695652173913
0.5021039622098277,0.3991031390134529,0.9012071012232805,0.5086158324632497,0.2631578947368421,0.7717737272000917,1314.9777367720017,8,0.16143497757847533,0.20855614973262032,0.3157894736842105,0.23076923076923078
0.5933919076977541,0.27074235807860264,0.8641342657763567,0.6424616784020231,0.18518518518518517,0.8276468635872083,1353.769238959001,8,0.12663755458515283,0.3,0.07407407407407407,0.32
0.3804534453088483,0.4185022026431718,0.7989556479520201,0.3836796717676779,0.19047619047619047,0.5741558622438684,1259.9015747259982,8,0.07929515418502203,0.37799043062200954,0.0,0.2857142857142857
0.40527728193798246,0.43612334801762115,0.8414006299556036,0.39656890976562825,0.24,0.6365689097656282,1226.221944623001,8,0.10572687224669604,0.26108374384236455,0.04,0.3333333333333333
0.41214906452203404,0.38396624472573837,0.7961153092477724,0.47948344722358727,0.30434782608695654,0.7838312733105438,1251.3709879269954,8,0.0970464135021097,0.24766355140186916,0.17391304347826086,0.42105263157894735
0.40542318859312193,0.4956140350877193,0.9010372236808413,0.4351218244518652,0.3,0.7351218244518651,1077.4654601779912,8,0.09649122807017543,0.18446601941747573,0.2,0.5
0.42125669171946667,0.47257383966244726,0.8938305313819139,0.4078465433157102,0.4,0.8078465433157103,1107.7187723730021,8,0.10126582278481013,0.1267605633802817,0.08,0.13043478260869565
