cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions,uncover_train,conflict_train,uncover_test,conflict_test
0.4941923651250114,0.2585669781931464,0.7527593433181579,0.5697161347581131,0.3076923076923077,0.8774084424504208,19304.397659302995,8,0.5109034267912772,0.24203821656050956,0.6153846153846154,0.26666666666666666
0.33902366161073616,0.19607843137254902,0.5351020929832851,0.30957464466383977,0.23333333333333334,0.542907977997173,18119.604785341013,8,0.4869281045751634,0.22929936305732485,0.5,0.2
0.5611304423336261,0.11858974358974358,0.6797201859233697,0.6234152202799579,0.15625,0.7796652202799579,19061.11754252101,8,0.5192307692307693,0.23333333333333334,0.625,0.16666666666666666
0.3600155060041324,0.1830065359477124,0.5430220419518448,0.3597251558158167,0.28205128205128205,0.6417764378670987,18671.007900122,8,0.46078431372549017,0.21818181818181817,0.48717948717948717,0.25
0.4985768617735184,0.25796178343949044,0.7565386452130088,0.4536723015920019,0.2903225806451613,0.7439948822371631,18237.550959127984,8,0.48089171974522293,0.2085889570552147,0.3548387096774194,0.2
0.38782273043776316,0.26813880126182965,0.6559615316995928,0.4298087287201024,0.1935483870967742,0.6233571158168766,19003.52343607202,8,0.5110410094637224,0.12903225806451613,0.5161290322580645,0.13333333333333333
0.5302260725676132,0.3202614379084967,0.8504875104761099,0.564331378496475,0.17142857142857143,0.7357599499250465,18139.36851677898,8,0.5294117647058824,0.2708333333333333,0.6,0.21428571428571427
0.320134850117151,0.237012987012987,0.5571478371301379,0.3018618724631643,0.3125,0.6143618724631643,18485.817409664043,8,0.4902597402597403,0.21019108280254778,0.53125,0.13333333333333333
0.5391752011004493,0.23333333333333334,0.7725085344337825,0.5983056484984925,0.42424242424242425,1.0225480727409169,18889.588990713994,8,0.49666666666666665,0.2052980132450331,0.48484848484848486,0.23529411764705882
0.48496839441054196,0.24437299035369775,0.7293413847642397,0.4632695180876366,0.27586206896551724,0.7391315870531538,19757.97533947497,8,0.5176848874598071,0.38666666666666666,0.4827586206896552,0.3333333333333333
