cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions
0.10797030698845024,0.3613707165109034,0.46934102349935364,0.11145858162910696,0.41025641025641024,0.5217149918855172,4507.767969623004,7
0.09436563924089894,0.28104575163398693,0.37541139087488584,0.08910462197111751,0.26666666666666666,0.3557712886377842,5131.891727411014,7
0.10183863699897097,0.3557692307692308,0.4576078677682017,0.11521827277672389,0.21875,0.3339682727767239,4574.7048420300125,4
0.11255699299941299,0.35294117647058826,0.4654981694700012,0.10936926545675438,0.38461538461538464,0.493984650072139,5016.8601239940035,9
0.11499320649344631,0.2356687898089172,0.3506619963023635,0.11616066505294584,0.1935483870967742,0.30970905214972,6673.634050160006,6
0.12423595601530034,0.17665615141955837,0.3008921074348587,0.16770367818153248,0.06451612903225806,0.23221980721379054,6090.4061335219885,6
0.0988551895781424,0.4150326797385621,0.5138878693167045,0.09426438985168963,0.37142857142857144,0.46569296128026105,5885.827828199021,3
0.08298129090452913,0.2597402597402597,0.3427215506447888,0.08329619552958159,0.21875,0.30204619552958156,6490.517857833009,5
0.09678085620304384,0.29333333333333333,0.39011418953637717,0.08766437521314215,0.3939393939393939,0.48160376915253605,6865.736012260022,8
0.09882096812235344,0.2797427652733119,0.3785637333956653,0.09720302623236306,0.2413793103448276,0.33858233657719067,6586.390604832035,5
