cost_train,loss_train,obj_train,cost_test,loss_test,obj_test,time,n_actions
0.08238944582332328,0.9170305676855895,0.9994200135089129,0.055601885548170325,1.0,1.0556018855481704,16.571261815,8
0.027932217165833946,0.9649122807017544,0.9928444978675883,0.0,1.0,1.0,21.54603200299971,8
0.011024909340938036,0.995575221238938,1.0066001305798762,0.0,1.0,1.0,21.239863761999004,8
0.005762152913429601,0.9865470852017937,0.9923092381152233,0.0,1.0,1.0,20.582515237001644,8
0.091337801559591,0.925764192139738,1.017101993699329,0.0,1.0,1.0,25.723532351999893,8
0.077456840428502,0.9251101321585903,1.0025669725870923,0.08735367417237286,0.9047619047619048,0.9921155789342776,27.23212373899878,8
0.08478560501810747,0.9251101321585903,1.0098957371766977,0.07617011381904798,0.96,1.036170113819048,27.37120692300232,8
0.08710366488093384,0.9240506329113924,1.0111542977923262,0.1180462411285501,0.8695652173913043,0.9876114585198544,25.88854240799992,8
0.07824552749026802,0.9429824561403509,1.0212279836306188,0.1371732287442528,0.85,0.9871732287442527,26.441135660003056,8
0.0,1.0,1.0,0.0,1.0,1.0,27.63128567599051,8
